TOVAR_ID,UPAC,MAKER,GROUP_ID,NAME
19,12.0,САГМЕЛ,3,"Противоревматические,анальгезирующие,жаропонижающие"
20,6.0,САГМЕЛ,4,Респираторные заболевания
21,15.0,БЕРЛИН-ХЕМИ АГ (ГРУППА МЕНАРИНИ),5,Гормоны
22,270.0,БЕРЛИН-ХЕМИ АГ (ГРУППА МЕНАРИНИ),5,Гормоны
26,1.0,АРМАВИРСКАЯ БИОФАБРИКА,6,Противоопухолевые ср-ва
27,1.0,АРМАВИРСКАЯ БИОФАБРИКА,7,Дерматология и венерология
28,1.0,ГЕКСАЛ АГ (САЛЮТАС ФАРМА),4,Респираторные заболевания
37,10.0,ЛЕК,8,Синтетические антибактериальные препараты
38,10.0,МОСХИМФАРМПРЕПАРАТЫ,9,Ферменты и антиферменты
48,28.0,ФАРМА НП СП.ЗО.О (ПОЛЬША),10,Витамины и аналоги
52,42.0,БОРИСОВСКИЙ ХФЗ,11,Сердечно-сосудистые средства
54,100.0,МОСКОВСК.ЭНДОКР.З-Д,11,Сердечно-сосудистые средства
56,252.0,АЙ СИ ЭН МАРБИОФАРМ,10,Витамины и аналоги
57,200.0,БРЫНЦАЛОВ,10,Витамины и аналоги
59,40.0,ОРГАНИКА,12,"Средства,действующие на ЦНС"
64,5.0,КНОЛЛЬ,12,"Средства,действующие на ЦНС"
66,600.0,МЕДИСОРБ ЗАО,14,Купирование отравлений и интонсикаций
68,10.0,МЕРКЛЕ ГМБХ,15,Коррекция метаболизма
73,300.0,НИКОМЕД,15,Коррекция метаболизма
80,10.0,БАЙЕР,3,"Противоревматические,анальгезирующие,жаропонижающие"
83,240.0,АКРИХИН,17,Урология и андрология
85,180.0,МОСХИМФАРМПРЕПАРАТЫ,18,Заболевания желудочно-киш.тракта
86,20.0,БИОСИНТЕЗ,18,Заболевания желудочно-киш.тракта
98,200.0,ШЕРИНГ ПЛАУ,4,Респираторные заболевания
107,1.0,ГАЛИЧФАРМ,12,"Средства,действующие на ЦНС"
109,1000.0,ЩЕЛКОВ.ВИТ. З-Д,12,"Средства,действующие на ЦНС"
110,1000.0,ЩЕЛКОВ.ВИТ. З-Д,12,"Средства,действующие на ЦНС"
111,800.0,ЩЕЛКОВ.ВИТ. З-Д,12,"Средства,действующие на ЦНС"
112,48.0,АКРИХИН,12,"Средства,действующие на ЦНС"
120,0.0,НИКОМЕД,12,"Средства,действующие на ЦНС"
124,100.0,ЛЕЧИВА,12,"Средства,действующие на ЦНС"
126,200.0,БОРИСОВСКИЙ ХФЗ,19,"Антисептики,дезосредства,дезинсектанты"
130,40.0,БРЫНЦАЛОВ А,20,Антибиотики
134,68.0,МОСХИМФАРМПРЕПАРАТЫ,20,Антибиотики
138,6.0,ПЕРРИГО КОМПАНИ,3,"Противоревматические,анальгезирующие,жаропонижающие"
139,600.0,БЕЛМЕДПРЕПАРАТЫ,3,"Противоревматические,анальгезирующие,жаропонижающие"
140,50.0,ХЕМОФАРМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
146,42.0,ТАТХИМФАРМ,11,Сердечно-сосудистые средства
147,42.0,ТАТХИМФАРМ,11,Сердечно-сосудистые средства
149,1000.0,ДАЛЬХИМФАРМ,11,Сердечно-сосудистые средства
151,5.0,ОРГАНОН,5,Гормоны
157,210.0,НАТУР ПРОДУКТ (ФРАНЦИЯ),4,Респираторные заболевания
166,50.0,ДАРНИЦА,15,Коррекция метаболизма
168,50.0,ТАЛЛИНСКИЙ ФАРМЗАВОД,7,Дерматология и венерология
171,100.0,ТАЛЛИНСКИЙ ФАРМЗАВОД,15,Коррекция метаболизма
174,10.0,ГЕДЕОН РИХТЕР,21,Анестезиология и реанимация
182,300.0,АЙ СИ ЭН МАРБИОФАРМ,10,Витамины и аналоги
186,120.0,АЙ СИ ЭН ОКТЯБРЬ,10,Витамины и аналоги
187,800.0,МОСХИМФАРМПРЕПАРАТЫ,10,Витамины и аналоги
191,160.0,АЛТАЙВИТАМИНЫ,10,Витамины и аналоги
