DATE,STOREID,PRODID,HOUR,COUNT,SUM,NAME_x,NAME_y,FKGCODE,FKGNAME
2004-01-01,1,31052,13,1,56.5,Аптека 1,Ингалипт аэроз. бал.аэроз.алюм. 30 мл пач.картон. 1 Ай Си Эн Октябрь,247,Антисептики и дезинфицирующие средства
2004-01-01,1,36259,16,1,72.48,Аптека 1,Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита,198,Витамины и витаминоподобные средства
2004-01-01,1,40345,15,1,15.84,Аптека 1,Линимент бальзамический (по Вишневскому) линим. туба 30 г пач.картон. 1 Алтайвитамины,247,Антисептики и дезинфицирующие средства
2004-01-01,1,65841,14,1,163.02,Аптека 1,Стрепсилс Плюс спрей доз. фл.с дозат. 20 мл кор. 1 Boots Healthcare International,247,Антисептики и дезинфицирующие средства
2004-01-01,1,82545,13,1,173.32,Аптека 1,"Арбидол-ЛЭНС табл.п.о. 0,1 г бл. 10 кор. 1 Дальхимфарм",33,Иммуномодуляторы
2004-01-01,1,83563,13,1,47.95,Аптека 1,Доктор Тайсс Эвкалипт леденцы 50 г Dr. Theiss Naturwaren,247,Антисептики и дезинфицирующие средства
2004-01-02,1,2291,20,1,276.8,Аптека 1,Кальций-Д_3 Никомед табл.жев. с апельс. фл. 100 Nycomed Pharma,198,Витамины и витаминоподобные средства
2004-01-02,1,11291,18,1,86.94,Аптека 1,"Арбидол-ЛЭНС табл.п.о. 0,05 г уп.контурн.яч. 10 пач.картон. 1 ЛЭНС-Фарм",33,Иммуномодуляторы
2004-01-02,1,24061,19,1,156.29,Аптека 1,Гриппферон капли наз. 10000 МЕ/мл фл.-кап. 10 мл кор. 1 Фирн М,33,Иммуномодуляторы
2004-01-02,1,27649,15,1,210.5,Аптека 1,Доппельгерц Женьшень Актив эликсир фл.темн.стекл. 250 мл кор. 1 Queisser Pharma,48,Общетонизирующие средства и адаптогены
2004-01-02,1,31052,20,1,56.5,Аптека 1,Ингалипт аэроз. бал.аэроз.алюм. 30 мл пач.картон. 1 Ай Си Эн Октябрь,247,Антисептики и дезинфицирующие средства
2004-01-02,1,33340,11,1,36.67,Аптека 1,Каметон аэроз. бал.аэроз. 30 г [с доз.устр.] пач.картон. 1 Мосхимфармпрепараты,247,Антисептики и дезинфицирующие средства
2004-01-02,1,33340,17,1,36.67,Аптека 1,Каметон аэроз. бал.аэроз. 30 г [с доз.устр.] пач.картон. 1 Мосхимфармпрепараты,247,Антисептики и дезинфицирующие средства
2004-01-02,1,38453,12,1,104.68,Аптека 1,"Куриозин гель наружн. 15,4 мг туба 15 г кор. 1 Gedeon Richter",247,Антисептики и дезинфицирующие средства
2004-01-02,1,40345,20,1,15.84,Аптека 1,Линимент бальзамический (по Вишневскому) линим. туба 30 г пач.картон. 1 Алтайвитамины,247,Антисептики и дезинфицирующие средства
2004-01-02,1,57168,20,1,128.96,Аптека 1,Прегнавит капс. бл. 10 кор. 3 Merckle,198,Витамины и витаминоподобные средства
2004-01-02,1,78981,11,1,44.48,Аптека 1,Эвкалипт табл.д/рассас. уп.контурн.яч. 10 кор. 2 Natur Product,247,Антисептики и дезинфицирующие средства
2004-01-02,1,83480,12,10,59.9,Аптека 1,Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 4 доз амп. № 1 Иммунопрепарат,33,Иммуномодуляторы
2004-01-03,1,828,18,1,34.98,Аптека 1,Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис,33,Иммуномодуляторы
2004-01-03,1,1151,14,1,233.41,Аптека 1,Виферон супп.рект. 150000 МЕ уп.контурн.яч. 10 № 1 Ферон,33,Иммуномодуляторы
2004-01-03,1,10648,12,1,17.56,Аптека 1,Анузол супп.рект. уп.контурн.яч. 5 пач.картон. 2 Нижфарм,247,Антисептики и дезинфицирующие средства
2004-01-03,1,11291,12,1,86.94,Аптека 1,"Арбидол-ЛЭНС табл.п.о. 0,05 г уп.контурн.яч. 10 пач.картон. 1 ЛЭНС-Фарм",33,Иммуномодуляторы
2004-01-03,1,11824,11,1,12.41,Аптека 1,Аскорутин табл. уп.контурн.яч. 10 пач.картон. 5 ICN Марбиофарм,198,Витамины и витаминоподобные средства
2004-01-03,1,13840,9,1,3.77,Аптека 1,Белластезин табл. проб. 10 Татхимфармпрепараты,50,Местные анестетики
2004-01-03,1,21269,10,1,217.54,Аптека 1,"Гексорал аэроз.наружн. 0,2 % бал.аэроз. 40 мл [с нас.] кор. 1 Parke-Davis",247,Антисептики и дезинфицирующие средства
2004-01-03,1,21269,14,1,217.54,Аптека 1,"Гексорал аэроз.наружн. 0,2 % бал.аэроз. 40 мл [с нас.] кор. 1 Parke-Davis",247,Антисептики и дезинфицирующие средства
2004-01-03,1,24061,11,1,156.29,Аптека 1,Гриппферон капли наз. 10000 МЕ/мл фл.-кап. 10 мл кор. 1 Фирн М,33,Иммуномодуляторы
2004-01-03,1,28092,17,1,72.07,Аптека 1,Дуовит драже уп.контурн.яч. 10 кор. 4 KRKA,198,Витамины и витаминоподобные средства
2004-01-03,1,32427,18,1,57.29,Аптека 1,Калгель гель зубн. туба 10 г пач.картон. 1 Glaxo Wellcome Operations,50,Местные анестетики
2004-01-03,1,32560,13,1,5.28,Аптека 1,Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-03,1,36259,16,1,72.48,Аптека 1,Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита,198,Витамины и витаминоподобные средства
2004-01-03,1,43701,9,1,4.92,Аптека 1,Меновазин р-р спирт.наружн. фл.темн.стекл. 40 мл Ватхэм-Фармация,50,Местные анестетики
2004-01-03,1,82845,8,2,63.24,Аптека 1,Стрепсилс Плюс табл. бл. 8 Boots Healthcare International,247,Антисептики и дезинфицирующие средства
2004-01-04,1,487,14,10,22.4,Аптека 1,Аспаркам табл. уп.контурн.яч. 10 Ай Си Эн Лексредства,108,Микро- и макроэлементы
